surah,verse,word_position,madani1,madani2,makki,basari,dimashqi,kufi,himsi,surah_name,last_3_words
56,35,3,1,1,1,-1,1,1,1,الواقعة,إِنَّآ أَنشَأۡنَٰهُنَّ إِنشَآءࣰ
56,41,2,1,1,1,1,1,-1,1,الواقعة,وَأَصۡحَٰبُ ٱلشِّمَالِ
56,48,2,1,1,1,1,1,1,-1,الواقعة,الأولون
56,49,4,1,-1,1,1,-1,1,-1,الواقعة,إِنَّ ٱلۡأَوَّلِینَ وَٱلۡـَٔاخِرِینَ
56,50,1,-1,1,-1,-1,1,-1,1,الواقعة,لَمَجۡمُوعُونَ
56,89,2,-1,-1,-1,-1,1,-1,-1,الواقعة,فَرَوۡحࣱ وَرَیۡحَانࣱ
57,13,27,-1,-1,-1,-1,-1,1,-1,الحديد,مِن قِبَلِهِ ٱلۡعَذَابُ
57,27,11,-1,-1,-1,1,-1,-1,-1,الحديد,مَرۡیَمَ وَءَاتَیۡنَٰهُ ٱلۡإِنجِیلَ
58,20,8,1,-1,-1,1,1,1,1,المجادلة,أُو۟لَٰٓىِٕكَ فِی ٱلۡأَذَلِّینَ
65,2,24,-1,-1,-1,-1,1,-1,-1,الطلاق,بِٱللَّهِ وَٱلۡیَوۡمِ ٱلۡـَٔاخِرِ
65,2,30,-1,1,1,-1,-1,-1,1,الطلاق,یَجۡعَل لَّهُۥ مَخۡرَجࣰا
65,10,9,1,-1,-1,-1,-1,-1,-1,الطلاق,ٱللَّهَ یَٰٓأُو۟لِی ٱلۡأَلۡبَٰبِ
65,12,18,-1,-1,-1,-1,-1,-1,1,الطلاق,على كل شیء قدير
66,8,20,-1,-1,-1,-1,-1,-1,1,تحريم,تحتها الأنهر
67,9,5,1,1,1,-1,-1,-1,-1,الملك,قَدۡ جَآءَنَا نَذِیرࣱ
69,1,1,-1,-1,-1,-1,-1,1,-1,الحاقة,ٱلۡحَآقَّةُ
69,7,7,-1,-1,-1,-1,-1,-1,1,الحاقة,حسوما
69,25,5,1,1,1,-1,-1,-1,-1,الحاقة,أُوتِیَ كِتَٰبَهُۥ بِشِمَالِهِۦ
70,4,11,1,1,1,1,-1,1,1,المعارج,خَمۡسِینَ أَلۡفَ سَنَةࣲ
71,16,4,-1,-1,-1,-1,-1,-1,1,نوح,فيهن نورا
71,23,9,1,1,1,1,1,-1,-1,نوح,وَدࣰّا وَلَا سُوَاعࣰا
71,23,13,-1,1,-1,-1,-1,1,1,نوح,یَغُوثَ وَیَعُوقَ وَنَسۡرࣰا
71,24,3,1,-1,1,-1,-1,-1,-1,نوح,وَقَدۡ أَضَلُّوا۟ كَثِیرࣰا
71,25,5,1,1,1,1,1,-1,1,نوح,أُغۡرِقُوا۟ فَأُدۡخِلُوا۟ نَارࣰا
72,22,7,-1,-1,1,-1,-1,-1,-1,الجن,مِنَ ٱللَّهِ أَحَدࣱ
72,22,12,1,1,-1,1,1,1,1,الجن,مِن دُونِهِۦ مُلۡتَحَدًا
73,1,2,1,-1,-1,-1,1,1,-1,المزمل,یَٰٓأَیُّهَا ٱلۡمُزَّمِّلُ
73,12,4,1,1,1,1,1,1,-1,المزمل,وجحيما
73,15,4,-1,-1,1,-1,-1,-1,1,المزمل,أَرۡسَلۡنَآ إِلَیۡكُمۡ رَسُولࣰا
73,17,8,1,-1,1,1,1,1,1,المزمل,یَجۡعَلُ ٱلۡوِلۡدَٰنَ شِیبًا
74,40,3,1,-1,1,1,1,1,1,المدثر,فِی جَنَّٰتࣲ یَتَسَآءَلُونَ
74,41,2,1,1,-1,1,-1,1,1,المدثر,عَنِ ٱلۡمُجۡرِمِینَ
75,16,6,-1,-1,-1,-1,-1,1,1,القيامة,لِسَانَكَ لِتَعۡجَلَ بِهِۦٓ
78,40,4,-1,-1,-1,1,-1,-1,-1,النبأ,أَنذَرۡنَٰكُمۡ عَذَابࣰا قَرِیبࣰا
79,33,3,1,1,1,-1,-1,1,-1,النازعات,مَتَٰعࣰا لَّكُمۡ وَلِأَنۡعَٰمِكُمۡ
79,37,3,-1,-1,-1,1,1,1,1,النازعات,فَأَمَّا مَن طَغَىٰ
80,32,3,1,1,1,-1,-1,1,-1,عبس,مَّتَٰعࣰا لَّكُمۡ وَلِأَنۡعَٰمِكُمۡ
80,33,3,1,1,1,1,-1,1,1,عبس,فَإِذَا جَآءَتِ ٱلصَّآخَّةُ
84,6,4,-1,-1,-1,-1,-1,-1,1,الإنشقاق,كادح
84,6,7,-1,-1,-1,-1,-1,-1,1,الإنشقاق,كدحا
84,6,8,1,1,1,1,1,1,-1,الإنشقاق,فملقيه
